X0 X1 X2
X120 X241 X242
X121 X243 X244
X122 X245 X246
X123 X247 X248
X124 X249 X250
X125 X251 X252
X126 X253 X254
X127 X255 X256
X128 X257 X258
X129 X259 X260
X130 X261 X262
X131 X263 X264
X132 X265 X266
X133 X267 X268
X134 X269 X270
X135 X271 X272
X136 X273 X274
X137 X275 X276
X138 X277 X278
X139 X279 X280
X140 X281 X282
X141 X283 X284
X142 X285 X286
X143 X287 X288
X144 X289 X290
X145 X291 X292
X146 X293 X294
X147 X295 X296
X148 X297 X298
X149 X299 X300
X150 X301 X302
X151 X303 X304
X152 X305 X306
X153 X307 X308
X154 X309 X310
X155 X311 X312
X156 X313 X314
X157 X315 X316
X158 X317 X318
X159 X319 X320
X160 X321 X322
X161 X323 X324
X162 X325 X326
X163 X327 X328
X164 X329 X330
X165 X331 X332
X166 X333 X334
X167 X335 X336
X168 X337 X338
X169 X339 X340
X170 X341 X342
X171 X343 X344
X172 X345 X346
X173 X347 X348
X174 X349 X350
X175 X351 X352
X176 X353 X354
X177 X355 X356
X178 X357 X358
X179 X359 X360
X180 X361 X362
X181 X363 X364
X182 X365 X366
X183 X367 X368
X184 X369 X370
X185 X371 X372
X186 X373 X374
X187 X375 X376
X188 X377 X378
X189 X379 X380
X190 X381 X382
X191 X383 X384
X192 X385 X386
X193 X387 X388
X194 X389 X390
X195 X391 X392
X196 X393 X394
X197 X395 X396
X198 X397 X398
X199 X399 X400
X200 X401 X402
X201 X403 X404
X202 X405 X406
X203 X407 X408
X204 X409 X410
X205 X411 X412
X206 X413 X414
X207 X415 X416
X208 X417 X418
X209 X419 X420
X210 X421 X422
X211 X423 X424
X212 X425 X426
X213 X427 X428
X214 X429 X430
X215 X431 X432
X216 X433 X434
X217 X435 X436
X218 X437 X438
X219 X439 X440
X220 X441 X442
X221 X443 X444
X222 X445 X446
X223 X447 X448
X224 X449 X450
X225 X451 X452
X226 X453 X454
X227 X455 X456
X228 X457 X458
X229 X459 X460
X230 X461 X462
X231 X463 X464
X232 X465 X466
X233 X467 X468
X234 X469 X470
X235 X471 X472
X236 X473 X474
X237 X475 X476
X238 X477 X478
X239 X479 X480
X240 X481 X482
X241 X483 X484
X242 X485 X486
X243 X487 X488
X244 X489 X490
X245 X491 X492
X246 X493 X494
X247 X495 X496
X248 X497 X498
X249 X499 X500
X250 X501 X502
X251 X503 X504
X252 X505 X506
X253 X507 X508
X254 X509 X510
X255 X511 X512
X256 X513 X514
X257 X515 X516
X258 X517 X518
X259 X519 X520
X260 X521 X522
X261 X523 X524
X262 X525 X526
X263 X527 X528
X264 X529 X530
X265 X531 X532
X266 X533 X534
X267 X535 X536
X268 X537 X538
X269 X539 X540
X270 X541 X542
X271 X543 X544
X272 X545 X546
X273 X547 X548
X274 X549 X550
X275 X551 X552
X276 X553 X554
X277 X555 X556
X278 X557 X558
X279 X559 X560
X280 X561 X562
X281 X563 X564
X282 X565 X566
X283 X567 X568
X284 X569 X570
X285 X571 X572
X286 X573 X574
X287 X575 X576
X288 X577 X578
X289 X579 X580
X290 X581 X582
X291 X583 X584
X292 X585 X586
X293 X587 X588
X294 X589 X590
X295 X591 X592
X296 X593 X594
X297 X595 X596
X298 X597 X598
X299 X599 X600
X300 X601 X602
X301 X603 X604
X302 X605 X606
X303 X607 X608
X304 X609 X610
X305 X611 X612
X306 X613 X614
X307 X615 X616
X308 X617 X618
X309 X619 X620
X310 X621 X622
X311 X623 X624
X312 X625 X626
X313 X627 X628
X314 X629 X630
X315 X631 X632
X316 X633 X634
X317 X635 X636
X318 X637 X638
X319 X639 X640
X320 X641 X642
X321 X643 X644
X322 X645 X646
X323 X647 X648
X324 X649 X650
X325 X651 X652
X326 X653 X654
X327 X655 X656
X328 X657 X658
X329 X659 X660
X330 X661 X662
X331 X663 X664
X332 X665 X666
X333 X667 X668
X334 X669 X670
X335 X671 X672
X336 X673 X674
X337 X675 X676
X338 X677 X678
X339 X679 X680
X340 X681 X682
X341 X683 X684
X342 X685 X686
X343 X687 X688
X344 X689 X690
X345 X691 X692
X346 X693 X694
X347 X695 X696
X348 X697 X698
X349 X699 X700
X350 X701 X702
X351 X703 X704
X352 X705 X706
X353 X707 X708
X354 X709 X710
X355 X711 X712
X356 X713 X714
X357 X715 X716
X358 X717 X718
X359 X719 X720
X360 X721 X722
X361 X723 X724
X362 X725 X726
X363 X727 X728
X364 X729 X730
X365 X731 X732
X366 X733 X734
X367 X735 X736
X368 X737 X738
X369 X739 X740
X370 X741 X742
X371 X743 X744
X372 X745 X746
X373 X747 X748
X374 X749 X750
X375 X751 X752
X376 X753 X754
X377 X755 X756
X378 X757 X758
X379 X759 X760
X380 X761 X762
X381 X763 X764
X382 X765 X766
X383 X767 X768
X384 X769 X770
X385 X771 X772
X386 X773 X774
X387 X775 X776
X388 X777 X778
X389 X779 X780
X390 X781 X782
X391 X783 X784
X392 X785 X786
X393 X787 X788
X394 X789 X790
X395 X791 X792
X396 X793 X794
X397 X795 X796
X398 X797 X798
X399 X799 X800
X400 X801 X802
X401 X803 X804
X402 X805 X806
X403 X807 X808
X404 X809 X810
X405 X811 X812
X406 X813 X814
X407 X815 X816
X408 X817 X818
X409 X819 X820
X410 X821 X822
X411 X823 X824
X412 X825 X826
X413 X827 X828
X414 X829 X830
X415 X831 X832
X416 X833 X834
X417 X835 X836
X418 X837 X838
X419 X839 X840
X420 X841 X842
X421 X843 X844
X422 X845 X846
X423 X847 X848
X424 X849 X850
X425 X851 X852
X426 X853 X854
X427 X855 X856
X428 X857 X858
X429 X859 X860
X430 X861 X862
X431 X863 X864
X432 X865 X866
X433 X867 X868
X434 X869 X870
X435 X871 X872
X436 X873 X874
X437 X875 X876
X438 X877 X878
X439 X879 X880
X440 X881 X882
X441 X883 X884
X442 X885 X886
X443 X887 X888
X444 X889 X890
X445 X891 X892
X446 X893 X894
X447 X895 X896
X448 X897 X898
X449 X899 X900
X450 X901 X902
X451 X903 X904
X452 X905 X906
X453 X907 X908
X454 X909 X910
X455 X911 X912
X456 X913 X914
X457 X915 X916
X458 X917 X918
X459 X919 X920
X460 X921 X922
X461 X923 X924
X462 X925 X926
X463 X927 X928
X464 X929 X930
X465 X931 X932
X466 X933 X934
X467 X935 X936
X468 X937 X938
X469 X939 X940
X470 X941 X942
X471 X943 X944
X472 X945 X946
X473 X947 X948
X474 X949 X950
X475 X951 X952
X476 X953 X954
X477 X955 X956
X478 X957 X958
X479 X959 X960
X480 X961 X962
X481 X963 X964
X482 X965 X966
X483 X967 X968
X484 X969 X970
X485 X971 X972
X486 X973 X974
X487 X975 X976
X488 X977 X978
X489 X979 X980
X490 X981 X982
X491 X983 X984
X492 X985 X986
X493 X987 X988
X494 X989 X990
X495 X991 X992
X496 X993 X994
X497 X995 X996
X498 X997 X998
X499 X999 X1000
X500 X1001 X1002
X501 X1003 X1004
X502 X1005 X1006
X503 X1007 X1008
X504 X1009 X1010
X505 X1011 X1012
X506 X1013 X1014
X507 X1015 X1016
X508 X1017 X1018
X509 X1019 X1020
X510 X1021 X1022
X511 43 46
X512 44 48
X513 45 52
X514 52 58
X515 50 56
X516 55 61
X517 52 58
X518 58 58
X519 47 50
X520 47 50
X521 52 56
X522 53 60
X523 53 54
X524 53 59
X525 56 56
X526 57 60
X527 43 46
X528 43 48
X529 48 52
X530 51 55
X531 49 56
X532 53 62
X533 53 58
X534 58 60
X535 45 48
X536 50 57
X537 47 54
X538 50 57
X539 52 54
X540 58 62
X541 56 65
X542 64 64
X543 48 48
X544 53 54
X545 51 55
X546 56 60
X547 53 55
X548 55 56
X549 54 59
X550 60 60
X551 48 55
X552 50 55
X553 55 60
X554 60 67
X555 57 58
X556 57 59
X557 60 69
X558 65 70
X559 47 50
X560 47 53
X561 52 54
X562 59 60
X563 54 55
X564 54 60
X565 59 60
X566 64 67
X567 54 62
X568 64 65
X569 58 62
X570 64 64
X571 67 67
X572 65 73
X573 70 70
X574 69 71
X575 51 54
X576 50 56
X577 49 56
X578 52 58
X579 46 51
X580 50 57
X581 54 55
X582 56 65
X583 46 53
X584 52 53
X585 52 59
X586 60 60
X587 51 58
X588 57 59
X589 55 62
X590 64 69
X591 50 59
X592 56 60
X593 56 63
X594 62 66
X595 55 60
X596 56 65
X597 54 60
X598 59 68
X599 58 58
X600 59 66
X601 59 64
X602 63 70
X603 62 65
X604 65 66
X605 69 74
X606 74 79
X607 44 50
X608 48 55
X609 52 61
X610 55 59
X611 54 56
X612 58 60
X613 57 64
X614 65 69
X615 49 56
X616 55 58
X617 57 66
X618 63 69
X619 52 58
X620 53 58
X621 60 64
X622 63 70
X623 47 51
X624 52 54
X625 53 61
X626 58 67
X627 51 57
X628 59 66
X629 62 65
X630 70 75
X631 53 57
X632 56 58
X633 56 62
X634 63 68
X635 59 63
X636 60 69
X637 65 71
X638 65 74
X639 42 47
X640 50 54
X641 45 47
X642 50 53
X643 46 48
X644 52 56
X645 51 54
X646 54 55
X647 53 53
X648 57 58
X649 51 55
X650 59 64
X651 55 56
X652 60 60
X653 59 66
X654 60 65
X655 46 52
X656 56 57
X657 49 52
X658 55 58
X659 47 52
X660 55 56
X661 52 61
X662 58 67
X663 48 55
X664 54 55
X665 54 60
X666 58 61
X667 57 57
X668 60 69
X669 63 73
X670 68 69
X671 48 53
X672 52 54
X673 50 51
X674 53 56
X675 54 58
X676 57 60
X677 63 64
X678 66 66
X679 49 55
X680 55 60
X681 55 58
X682 56 57
X683 52 56
X684 60 63
X685 56 61
X686 61 68
X687 58 59
X688 56 61
X689 57 58
X690 62 63
X691 63 74
X692 65 74
X693 66 68
X694 71 73
X695 61 61
X696 63 64
X697 66 66
X698 67 67
X699 61 63
X700 65 76
X701 70 75
X702 75 84
X703 46 52
X704 53 55
X705 56 56
X706 60 65
X707 48 55
X708 55 59
X709 59 64
X710 60 69
X711 44 51
X712 54 55
X713 52 61
X714 60 63
X715 51 58
X716 56 64
X717 58 66
X718 68 69
X719 48 50
X720 54 56
X721 56 59
X722 58 63
X723 56 59
X724 59 59
X725 56 59
X726 63 67
X727 56 65
X728 61 61
X729 62 70
X730 72 79
X731 60 66
X732 62 65
X733 69 71
X734 70 80
X735 54 55
X736 55 61
X737 59 66
X738 68 70
X739 60 67
X740 59 68
X741 65 74
X742 74 74
X743 55 58
X744 58 58
X745 61 61
X746 65 71
X747 64 73
X748 66 76
X749 68 74
X750 72 72
X751 56 63
X752 67 70
X753 64 69
X754 68 78
X755 63 65
X756 62 68
X757 70 74
X758 73 82
X759 61 69
X760 65 74
X761 69 74
X762 68 75
X763 71 76
X764 82 84
X765 79 83
X766 81 83
X767 47 47
X768 53 54
X769 50 54
X770 54 58
X771 49 53
X772 52 55
X773 50 58
X774 54 58
X775 47 53
X776 50 52
X777 51 60
X778 54 59
X779 50 56
X780 53 60
X781 49 58
X782 57 61
X783 48 49
X784 52 52
X785 49 54
X786 55 60
X787 55 62
X788 61 64
X789 60 60
X790 60 63
X791 47 52
X792 52 57
X793 52 54
X794 57 66
X795 53 62
X796 57 62
X797 53 59
X798 59 64
X799 46 52
X800 50 54
X801 48 53
X802 54 55
X803 55 56
X804 55 58
X805 58 65
X806 65 67
X807 51 52
X808 56 62
X809 61 66
X810 61 68
X811 54 60
X812 57 62
X813 58 67
X814 67 71
X815 51 51
X816 50 53
X817 50 53
X818 54 55
X819 53 57
X820 56 61
X821 55 61
X822 61 66
X823 54 58
X824 56 61
X825 60 60
X826 61 69
X827 65 68
X828 67 71
X829 67 75
X830 69 77
X831 43 49
X832 51 52
X833 51 52
X834 51 55
X835 51 55
X836 54 59
X837 56 56
X838 56 59
X839 48 49
X840 49 56
X841 52 52
X842 54 61
X843 56 56
X844 55 58
X845 59 64
X846 69 69
X847 47 52
X848 55 58
X849 52 55
X850 56 56
X851 53 54
X852 56 63
X853 55 61
X854 60 64
X855 45 52
X856 53 54
X857 53 56
X858 57 58
X859 55 59
X860 59 61
X861 59 61
X862 66 70
X863 46 51
X864 56 58
X865 52 53
X866 54 59
X867 57 58
X868 57 62
X869 59 67
X870 66 73
X871 60 60
X872 60 60
X873 55 60
X874 61 68
X875 54 60
X876 65 65
X877 68 71
X878 69 75
X879 50 57
X880 58 66
X881 58 59
X882 62 69
X883 58 58
X884 58 60
X885 61 62
X886 65 69
X887 57 57
X888 58 60
X889 53 58
X890 61 64
X891 58 62
X892 68 70
X893 65 70
X894 67 70
X895 47 48
X896 54 54
X897 48 50
X898 56 57
X899 45 52
X900 47 52
X901 51 55
X902 55 59
X903 47 53
X904 50 54
X905 53 59
X906 56 62
X907 52 55
X908 53 54
X909 52 57
X910 60 64
X911 48 48
X912 53 55
X913 51 55
X914 59 60
X915 45 48
X916 52 53
X917 52 57
X918 61 61
X919 48 52
X920 55 59
X921 53 59
X922 56 61
X923 57 64
X924 59 67
X925 62 63
X926 69 72
X927 52 53
X928 53 58
X929 54 55
X930 55 59
X931 54 58
X932 59 59
X933 62 65
X934 59 68
X935 52 55
X936 60 64
X937 53 58
X938 60 62
X939 55 61
X940 63 68
X941 64 68
X942 70 73
X943 50 53
X944 56 62
X945 59 61
X946 66 68
X947 56 57
X948 62 66
X949 60 64
X950 58 67
X951 58 60
X952 63 67
X953 64 67
X954 74 77
X955 70 74
X956 70 80
X957 73 75
X958 78 78
X959 53 55
X960 60 65
X961 55 59
X962 60 68
X963 53 57
X964 60 67
X965 67 69
X966 65 72
X967 56 61
X968 57 60
X969 59 65
X970 62 68
X971 60 64
X972 65 71
X973 60 69
X974 68 72
X975 55 59
X976 56 63
X977 59 66
X978 63 66
X979 56 60
X980 61 62
X981 59 61
X982 68 71
X983 59 62
X984 62 65
X985 60 68
X986 69 72
X987 63 69
X988 69 73
X989 66 73
X990 74 76
X991 54 56
X992 59 61
X993 58 61
X994 57 65
X995 54 56
X996 57 61
X997 62 68
X998 63 71
X999 55 58
X1000 59 64
X1001 55 59
X1002 63 67
X1003 62 66
X1004 61 68
X1005 60 67
X1006 68 76
X1007 57 65
X1008 59 64
X1009 64 74
X1010 68 79
X1011 66 74
X1012 71 77
X1013 71 76
X1014 70 79
X1015 63 64
X1016 68 70
X1017 67 72
X1018 77 84
X1019 61 68
X1020 68 76
X1021 68 76
X1022 75 81
